ID;Venta;Campana;Edad;Masculino;Capital;Oferta;NSE;Actividad;Empleador;Jubilado;Cant_bcos;Monto_Bcos;Banc_12m;Banc_13_24;Banco_1
6509;0;1;39;1;1;108100;C2;Autonomo;0;0;1;11000;10;12;ICBC
6511;1;1;39;1;0;66700;C3;Monotributo C;0;0;1;4000;5;12;Naranja
6513;0;1;39;1;0;73500;C2;Empleado;0;0;1;30092;11;12;Bco Galicia
6516;0;1;39;1;0;108100;C1;Empleado;0;0;1;62000;11;12;HSBC
6517;0;1;39;1;1;213000;C1;Empleado;0;0;1;24000;11;12;BBVA SA
6518;0;1;39;1;0;89100;C2;Empleado;0;0;1;132000;10;12;Naranja
6519;0;1;40;0;0;329900;B;Empleado;0;0;1;104000;11;12;Bco Santander Rio
6520;0;1;39;1;1;144500;C1;Empleado;0;0;1;62000;11;12;Bco Santander Rio
6521;0;1;39;1;0;89100;C2;Empleado;0;0;1;10471;11;12;Bco Galicia
6522;0;1;39;1;0;213000;C1;Empleado;0;0;1;9000;10;12;Naranja
6523;1;1;39;1;0;89100;C2;Empleado;0;0;1;193000;11;12;BBVA SA
6524;0;1;39;1;0;108100;C2;Empleado;0;0;1;63000;10;12;Naranja
6525;0;1;39;1;0;108100;C2;Autonomo;0;0;1;158000;7;0;Bco Macro
6526;0;1;39;1;0;213000;C1;Empleado;0;0;1;12000;9;9;Bco Macro
6527;0;1;39;1;0;108100;C2;Empleado;0;0;1;39000;11;12;Bco Macro
6528;1;1;39;1;0;89100;C2;Empleado;0;0;1;9000;10;12;Naranja
6529;0;1;39;1;0;108100;C2;Autonomo;0;0;1;185257;11;12;Bco Galicia
6531;1;1;39;1;0;108100;C2;Autonomo;0;0;1;9000;10;12;Naranja
6532;1;1;39;1;0;213000;C1;Autonomo;0;0;1;3000;10;12;Naranja
6534;0;1;39;1;0;258700;B;Autonomo;0;0;1;43000;5;11;Bco Santander Rio
6535;1;1;39;1;0;37700;C3;Monotributo B;0;0;0;0;0;0;0
6536;1;1;39;1;0;137700;C1;Monotributo E;0;0;0;0;3;12;0
6537;0;1;39;1;1;213000;C1;Empleado;0;0;1;100672;11;12;Bco Galicia
6538;1;1;39;1;0;50000;C2;Monotributo B;0;0;1;9000;11;10;Nvo Santa Fe
6539;0;1;39;1;0;63600;C3;Empleado;0;0;1;20000;10;12;Naranja
6540;1;1;39;1;0;66700;C3;Monotributo C;0;0;0;0;3;5;0
6541;0;1;39;1;0;63600;C3;Empleado;0;0;1;21000;11;12;Financiera
6542;0;1;39;1;0;63600;C3;Empleado;0;0;1;5000;5;11;Naranja
6543;1;1;39;1;0;137700;D1;Monotributo E;0;0;0;0;10;7;0
6544;0;1;39;1;0;144500;C1;Empleado;0;0;1;1000;4;6;Financiera
6545;1;1;39;1;0;285100;C1;Monotributo H;0;0;1;21000;10;12;Naranja
6546;0;1;39;1;0;73500;C2;Empleado;0;0;1;118000;10;12;Naranja
6547;1;1;39;1;0;52500;C3;Empleado;0;0;1;10000;7;12;Naranja
6548;1;1;39;1;0;66700;C2;Monotributo C;0;0;1;130000;10;12;Bco Santander Rio
6551;0;1;39;1;0;213000;C1;Empleado;0;0;1;140000;11;12;Bco Macro
6552;0;1;39;1;0;77100;C1;Informal;0;0;1;73000;10;12;Naranja
6555;1;1;39;1;0;103000;C2;Monotributo D;0;0;0;0;7;12;0
6557;1;1;39;1;0;66700;C2;Monotributo C;0;0;1;49000;10;11;Naranja
6558;1;1;39;1;0;151700;A;Monotributo G;0;0;0;0;0;0;0
6559;1;1;39;1;0;77100;C2;Monotributo D;0;0;0;0;0;0;0
6560;0;1;39;1;0;213000;C1;Empleado;0;0;1;52000;11;12;Bco Macro
6561;1;1;39;1;0;108100;C2;Autonomo;0;0;1;59000;11;12;BBVA SA
6562;1;1;39;1;0;34300;D1;Informal;0;0;0;0;0;6;0
6563;1;1;40;1;0;213000;C1;Autonomo;0;0;1;15000;11;6;Bco Macro
6564;1;1;39;1;0;125000;C2;Monotributo F;0;0;0;0;0;0;0
6565;1;1;39;1;0;108100;C2;Empleado;0;0;1;25000;11;12;Bco Macro
6566;0;1;39;1;0;108100;C2;Autonomo;0;0;1;6000;10;12;Naranja
6567;0;1;39;1;0;108100;C2;Empleado;0;0;1;16000;11;12;Bco Santander Rio
6569;0;1;39;1;1;63600;C3;Empleado;0;0;1;28000;11;12;Bco Macro
6570;0;1;39;1;0;108100;C2;Autonomo;0;0;1;1000;8;9;Bco Santander Rio
6571;0;1;39;1;0;213000;C1;Empleado;0;0;1;9000;11;12;BBVA SA
6572;1;1;39;1;0;213000;C1;Monotributo H;0;0;0;0;0;0;0
6573;1;1;39;1;0;108100;C2;Autonomo;0;0;0;0;0;5;0
6574;0;1;39;1;1;144500;C1;Empleado;0;0;1;2000;10;12;Naranja
6575;1;1;39;1;0;285100;C2;Monotributo H;0;0;1;172000;11;12;Bco Macro
6576;0;1;39;1;0;213000;C1;Empleado;0;0;1;65000;10;12;Naranja
6577;0;1;39;1;0;213000;C1;Empleado;0;0;1;160000;11;12;Bco Santander Rio
6578;0;1;39;1;0;213000;C1;Empleado;0;0;1;391000;11;12;BBVA SA
6579;0;1;39;1;0;89100;C2;Empleado;0;0;1;4000;10;8;Naranja
6580;0;1;39;1;0;34300;D1;Informal;0;0;1;23000;10;12;Naranja
6581;0;1;39;1;0;108100;C2;Empleado;0;0;1;28000;11;12;Bco Macro
6582;0;1;39;1;0;63600;C3;Empleado;0;0;0;0;0;1;0
6583;1;1;39;1;0;329900;A;Monotributo I;0;0;1;52000;10;12;Naranja
6584;1;1;39;1;0;77100;C3;Monotributo D;0;0;0;0;0;0;0
6585;1;1;39;1;0;63600;C3;Empleado;0;0;1;19000;10;8;Naranja
6586;0;1;39;1;0;144500;C1;Informal;0;0;1;79000;11;12;Bco Santander Rio
6588;0;1;39;1;0;213000;C1;Empleado;0;0;1;74865;11;12;Bco Galicia
6589;0;1;39;1;0;34300;D1;Informal;0;0;1;68000;10;12;Naranja
6590;1;1;39;1;0;50000;C3;Monotributo B;0;0;1;16000;10;12;Naranja
6592;0;1;38;1;0;77100;C1;Informal;0;0;1;39522;11;12;Bco Galicia
6593;0;1;39;1;0;73500;C2;Informal;0;0;0;0;0;9;0
6594;0;1;40;1;1;213000;C1;Autonomo;0;0;1;162000;11;12;BBVA SA
6595;1;1;38;1;0;108100;C1;Empleado;0;0;1;208000;11;12;Bco Santander Rio
6596;1;1;38;1;0;108100;C2;Autonomo;0;0;1;13000;9;12;Bco Hipotecario
6597;1;1;39;1;1;108100;C2;Empleado;0;0;1;73000;10;12;Naranja
6599;1;1;39;1;1;34300;D1;Informal;0;0;1;10000;11;12;Bco Santander Rio
6600;1;1;39;1;0;63600;C3;Autonomo;0;0;1;11000;10;12;Naranja
6601;1;1;39;1;0;66700;C1;Monotributo C;0;0;1;15000;8;6;Naranja
6602;1;1;39;1;0;285100;C1;Monotributo H;0;0;0;0;10;12;0
6603;0;1;39;1;0;108100;C2;Autonomo;0;0;1;2633;11;12;Bco Galicia
6604;0;1;39;1;0;108100;C2;Autonomo;0;0;1;2000;11;9;Bco Macro
6605;0;1;38;1;1;73500;C2;Empleado;0;0;1;39000;10;12;Naranja
6606;0;1;39;1;0;213000;C1;Empleado;0;0;1;77000;11;9;Bco Santander Rio
6608;1;1;38;1;0;34300;C2;Monotributo A;0;0;1;27926;11;12;Bco Galicia
6612;1;1;39;1;0;89100;C2;Empleado;0;0;1;8074;11;12;Bco Galicia
6613;0;1;38;1;0;329900;B;Autonomo;0;0;1;674000;11;12;BBVA SA
6614;1;1;39;1;0;52500;C3;Empleado;0;0;1;1000;7;12;Naranja
6615;0;1;38;1;0;108100;C2;Autonomo;0;0;1;11000;11;12;Bco Santander Rio
6616;1;1;39;1;0;103000;C2;Monotributo D;0;0;1;45000;10;12;Naranja
6617;1;1;39;1;0;103000;C2;Monotributo D;0;0;1;22000;10;12;Naranja
6618;0;1;39;1;1;52500;C3;Empleado;0;0;1;21000;10;12;Naranja
6619;0;1;39;1;0;63600;C3;Empleado;0;0;1;60000;10;12;Naranja
6620;0;1;39;1;1;213000;C1;Empleado;0;0;1;4000;11;6;BBVA SA
6622;1;1;39;1;1;167100;C2;Monotributo F;0;0;1;54000;10;12;Naranja
6624;1;1;39;1;1;144500;C1;Empleado;0;0;1;81000;10;12;Naranja
6625;1;1;39;1;0;137700;C1;Monotributo E;0;0;1;54000;10;12;Naranja
6626;1;1;39;1;0;213000;C1;Empleado;0;0;1;12000;11;12;Bco Santander Rio
6627;1;1;38;1;0;73500;C2;Empleado;0;0;1;97000;11;12;Bco Santander Rio
6628;0;1;39;1;1;63600;C3;Empleado;0;0;1;37000;10;12;Naranja
6629;1;1;39;1;0;167100;C2;Monotributo F;0;0;1;102000;11;12;Bco Macro
6630;1;1;39;1;1;50000;C2;Monotributo B;0;0;1;8000;7;8;Naranja
6631;0;1;39;1;1;73500;C2;Empleado;0;0;1;200000;8;0;Bco Macro
6632;0;1;39;1;1;34300;D1;Informal;0;0;0;0;0;9;0
6633;0;1;39;1;0;329900;B;Autonomo;0;0;1;398000;11;12;ICBC
6636;0;1;39;1;0;329900;B;Empleado;0;0;1;91000;11;12;Bco Santander Rio
6637;1;1;39;1;1;89100;C2;Empleado;0;0;1;19000;10;12;Naranja
6638;0;1;39;1;0;77100;C1;Informal;0;0;1;263806;11;12;Bco Galicia
6639;0;1;39;1;0;108100;C2;Empleado;0;0;1;50000;10;12;Naranja
6640;1;1;38;1;0;34300;C2;Monotributo A;0;0;1;35000;10;12;Naranja
6641;1;1;39;1;0;25900;C3;Monotributo A;0;0;0;0;0;0;0
6642;1;1;38;1;0;37700;C3;Monotributo B;0;0;0;0;0;0;0
6643;0;1;39;1;1;108100;C2;Empleado;0;0;1;14000;10;12;Naranja
6644;1;1;39;0;1;52500;C3;Empleado;0;0;0;0;0;10;0
6645;0;1;39;1;1;34300;D1;Informal;0;0;1;10000;10;12;Naranja
6646;0;1;39;1;0;77100;C1;Informal;0;0;1;152000;10;12;Naranja
6648;0;1;39;1;0;144500;C1;Empleado;0;0;1;404000;5;12;BBVA SA
6649;0;1;39;1;1;213000;C1;Empleado;0;0;1;26000;11;12;Bco Santander Rio
6650;1;1;39;1;1;213000;C1;Empleado;0;0;1;16000;10;12;Naranja
6651;0;1;39;1;1;89100;C2;Empleado;0;0;1;46000;10;12;Naranja
6652;0;1;39;1;0;213000;C1;Empleado;0;0;1;47000;11;12;ICBC
6653;0;1;39;1;1;213000;C1;Empleado;0;0;1;21858;11;12;Bco Galicia
